"StudyID","CookDistance","ResponseVariable"
1,0.00782807160794324,"Biodiversity"
1,0.00602757853748544,"Biodiversity"
2,0.00545560911346852,"Crop yield"
2,0.00511647912722593,"Crop yield"
3,0.00658407133918423,"Crop yield"
3,0.00556559271012793,"Crop yield"
4,0.00431032280179488,"Biodiversity"
4,0.0202079503562394,"Biodiversity"
4,0.0069494296070534,"Biodiversity"
4,0.0214857062890488,"Biodiversity"
5,0.0046060713435513,"Water quality"
5,0.00574849390116029,"Water quality"
NA,0.0111092803723792,NA
5,0.00882768474550171,"Water quality"
NA,0.0067202936965195,NA
5,0.00486015594906435,"Water quality"
5,0.0123983952841937,"Water quality"
5,0.00738477958933007,"Water quality"
5,0.00526076224708962,"Water quality"
5,0.0043700667019848,"Water quality"
5,0.00448223610976016,"Water quality"
5,0.0151066333471145,"Water quality"
5,0.550144140496093,"Water quality"
5,0.0106420804008618,"Water quality"
5,0.0604633534048558,"Water quality"
5,0.0198631367164457,"Water quality"
5,0.014679387416634,"Water quality"
5,0.00477831840392301,"Water quality"
5,0.00869052370764108,"Water quality"
5,0.0251596493849663,"Water quality"
5,0.0841002509613189,"Water quality"
5,0.0262666011965501,"Water quality"
5,0.00395383270482331,"Water quality"
5,0.0777236105191416,"Water quality"
1,0.00841249354253509,"Biodiversity"
1,0.0444739708682294,"Biodiversity"
2,0.515060653392728,"Crop yield"
2,0.282860327008445,"Crop yield"
2,0.031839382182245,"Crop yield"
2,0.00718996830757809,"Crop yield"
2,0.0118602330560633,"Crop yield"
2,0.00646222253428127,"Crop yield"
5,0.0107469535306207,"Water quality"
5,0.0107805962211786,"Water quality"
5,0.0148811220425032,"Water quality"
5,0.00775918833717794,"Water quality"
5,0.00767434105232197,"Water quality"
5,0.0144939895561519,"Water quality"
5,0.0116637215295662,"Water quality"
5,0.00690044358211743,"Water quality"
NA,0.00989897415233235,NA
5,0.00425337348337617,"Water quality"
5,0.00531326348767356,"Water quality"
5,0.00485541034794493,"Water quality"
NA,0.0285868947403354,NA
5,0.0384854246542274,"Water quality"
5,0.0246787169950473,"Water quality"
5,0.00652707919207897,"Water quality"
5,0.00388941712829654,"Water quality"
5,0.00704899627911824,"Water quality"
5,0.0127611336404805,"Water quality"
5,0.010934993330796,"Water quality"
5,0.00408934690163594,"Water quality"
5,0.00454043281909377,"Water quality"
5,0.00478271363802669,"Water quality"
5,0.00466920934531683,"Water quality"
5,0.0121982127694385,"Water quality"
5,0.00402164022958917,"Water quality"
5,0.0135865817192021,"Water quality"
5,0.0105224493126158,"Water quality"
5,0.0205930831923384,"Water quality"
5,0.00661780590805325,"Water quality"
5,0.00476202470799315,"Water quality"
6,0.0040433240849445,"Pest and Disease"
6,0.0148681886050161,"Pest and Disease"
6,0.00498608645896204,"Pest and Disease"
6,0.00968253097691166,"Pest and Disease"
1,0.0277286620401765,"Biodiversity"
1,0.0367265731790223,"Biodiversity"
1,0.0447710382996591,"Biodiversity"
1,0.0509780049020081,"Biodiversity"
1,0.0228087125132899,"Biodiversity"
2,0.467714547052041,"Crop yield"
2,0.564756291460358,"Crop yield"
2,0.626811423667784,"Crop yield"
2,0.218023031091899,"Crop yield"
2,0.418529685708498,"Crop yield"
2,0.182773181986957,"Crop yield"
2,0.0422697304087106,"Crop yield"
2,3.32572073221214,"Crop yield"
2,1.11263451326842,"Crop yield"
3,0.0377826448182205,"Crop yield"
3,0.0139920865394332,"Crop yield"
3,0.0045097055131613,"Crop yield"
3,0.00436861195278569,"Crop yield"
3,0.14160313238577,"Crop yield"
3,0.0182945718720431,"Crop yield"
4,0.00633515378117635,"Biodiversity"
4,0.23639715478928,"Biodiversity"
4,0.0219784169675459,"Biodiversity"
4,0.624362537791949,"Biodiversity"
4,0.0148773093584916,"Biodiversity"
4,0.0141980943474207,"Biodiversity"
4,0.0305112948620565,"Biodiversity"
4,0.140628112070423,"Biodiversity"
4,0.15742986122912,"Biodiversity"
4,0.354824783404823,"Biodiversity"
4,0.558907332576935,"Biodiversity"
4,0.00642920960308458,"Biodiversity"
5,0.00688672244314881,"Water quality"
5,0.0830962557753589,"Water quality"
5,0.0171017614235139,"Water quality"
5,0.022836725883703,"Water quality"
5,0.105100058498208,"Water quality"
5,0.0916378300329148,"Water quality"
NA,0.434021511695262,NA
5,0.102977579971395,"Water quality"
NA,0.00545355245331588,NA
5,0.279149129023115,"Water quality"
5,0.0345053478105461,"Water quality"
5,0.00670213856128085,"Water quality"
5,0.04780267298021,"Water quality"
5,0.0171169463386449,"Water quality"
5,0.107364503712632,"Water quality"
5,19953.330709422,"Water quality"
1,0.155261716345716,"Biodiversity"
1,0.157162744540112,"Biodiversity"
1,0.0975431763872091,"Biodiversity"
2,0.005492158523846,"Crop yield"
2,0.052141405266262,"Crop yield"
2,0.00546414216919348,"Crop yield"
3,0.00415166610039543,"Crop yield"
3,0.0133567664525255,"Crop yield"
3,0.00550870961265139,"Crop yield"
3,0.0113353236294971,"Crop yield"
3,0.0146049324834901,"Crop yield"
4,0.0112624522426864,"Biodiversity"
4,0.0200527217878163,"Biodiversity"
4,0.0698737700310613,"Biodiversity"
4,0.011429446229032,"Biodiversity"
4,0.275591767723907,"Biodiversity"
4,0.0284482462888447,"Biodiversity"
4,0.161620757046079,"Biodiversity"
2,0.00937087567276623,"Crop yield"
3,0.0203476874630763,"Crop yield"
3,0.00686374865369479,"Crop yield"
3,0.00466682702656683,"Crop yield"
NA,0.0059954739738215,NA
5,0.0210297396896554,"Water quality"
5,0.0391988387644902,"Water quality"
5,0.04719782223504,"Water quality"
5,0.0246114234680142,"Water quality"
NA,0.0777595550859183,NA
5,0.177000241098383,"Water quality"
5,0.0718739370659934,"Water quality"
5,0.0099142870030589,"Water quality"
5,0.00614239548830124,"Water quality"
NA,0.0281886803089272,NA
NA,0.0100895380088632,NA
5,0.0120790360444414,"Water quality"
5,0.00652075891791764,"Water quality"
5,0.00492285344813553,"Water quality"
5,0.00743070121702976,"Water quality"
5,0.0274101024914978,"Water quality"
5,0.0307823207117432,"Water quality"
5,0.0382504524499736,"Water quality"
5,0.00784721519820751,"Water quality"
5,0.0244167706358379,"Water quality"
5,0.0253180335749484,"Water quality"
5,0.0253281937553413,"Water quality"
6,0.0260368052616193,"Pest and Disease"
6,0.0331079645531874,"Pest and Disease"
6,0.0149153390051146,"Pest and Disease"
NA,0.0482690586963689,NA
7,0.0105400073997577,"Biodiversity"
7,0.0146648059175367,"Biodiversity"
7,0.00906840490859973,"Biodiversity"
7,0.00980165887205598,"Biodiversity"
7,0.00526512356117603,"Biodiversity"
1,0.0152108128368357,"Biodiversity"
1,0.00951078307947328,"Biodiversity"
1,0.00818752968924023,"Biodiversity"
1,0.00671788702210611,"Biodiversity"
1,0.0230231585656631,"Biodiversity"
2,0.00741984283498214,"Crop yield"
2,0.00824875709495944,"Crop yield"
2,0.00874284966856423,"Crop yield"
2,0.0987171758883579,"Crop yield"
2,0.0377900523656084,"Crop yield"
2,0.0193215913148973,"Crop yield"
2,0.00531408761952635,"Crop yield"
2,0.00531722792874839,"Crop yield"
2,0.00626279942079065,"Crop yield"
2,0.00533630504582436,"Crop yield"
2,0.00841975061680571,"Crop yield"
3,0.00705771920351881,"Crop yield"
3,0.0055693721967968,"Crop yield"
3,0.0777371479109787,"Crop yield"
3,0.00608558572041376,"Crop yield"
3,0.0050456678716194,"Crop yield"
3,0.00568529876627524,"Crop yield"
3,0.00800219701554761,"Crop yield"
3,0.00672523279669655,"Crop yield"
4,0.00807049418950328,"Biodiversity"
4,0.00605265655322187,"Biodiversity"
4,0.00748608622862168,"Biodiversity"
4,0.00422481686118564,"Biodiversity"
4,0.00402562456995678,"Biodiversity"
4,0.0290847600213789,"Biodiversity"
4,0.00449191689364837,"Biodiversity"
4,0.0161286726748201,"Biodiversity"
4,0.00643252563660691,"Biodiversity"
5,0.00577328383392277,"Water quality"
5,0.00792609047239641,"Water quality"
5,0.0724598678348665,"Water quality"
5,0.0259483848078323,"Water quality"
5,0.0757967920004549,"Water quality"
5,0.0305324451820618,"Water quality"
NA,0.0322349895480306,NA
5,0.0348563163267729,"Water quality"
NA,0.00536569245904576,NA
NA,0.00428289905755348,NA
NA,0.0742597071873988,NA
5,0.00558724818296601,"Water quality"
5,0.0348950383612431,"Water quality"
5,0.0144712281819552,"Water quality"
5,0.00756774337680598,"Water quality"
5,0.00431056260379297,"Water quality"
5,0.00425766890918852,"Water quality"
5,0.00749252992904694,"Water quality"
1,0.0561127384494748,"Biodiversity"
1,0.0179060179246252,"Biodiversity"
1,0.00471873749538019,"Biodiversity"
1,0.0334153239656528,"Biodiversity"
1,0.0231948873088241,"Biodiversity"
1,0.143152412938403,"Biodiversity"
1,0.0675323507359988,"Biodiversity"
3,0.0163518655148288,"Crop yield"
4,0.0304135233452368,"Biodiversity"
4,0.00530727840586423,"Biodiversity"
5,0.0120968089020788,"Water quality"
5,0.00755650648716978,"Water quality"
5,0.00504668601635109,"Water quality"
5,0.00942210636079895,"Water quality"
5,0.0261416469810032,"Water quality"
5,0.00436279995955789,"Water quality"
5,0.0092020974918246,"Water quality"
5,0.0218582953587279,"Water quality"
5,0.0156804252427725,"Water quality"
5,0.00738566623064004,"Water quality"
5,0.0124230524666172,"Water quality"
5,0.00803340859415132,"Water quality"
5,0.00504010868314025,"Water quality"
5,0.0288410733130623,"Water quality"
5,0.0725344562794172,"Water quality"
5,0.00506999538119825,"Water quality"
5,0.107034878904132,"Water quality"
5,0.00418625713261906,"Water quality"
5,0.00961231570241506,"Water quality"
5,0.133183821568371,"Water quality"
5,0.019072933540275,"Water quality"
